Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (gf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (gf/W),Overall Efficiency (gf/W),Vibration (g),App message,
57.19647,1425,,,,0.048828125,0.03125,-1.05859375,0.06256886838596834,304.56186194831366,22.189502716064453,0.9967041015625,2156,0,22.116368368733674,14.125544954734425,63.869188282756106,21.56106988610265,13.770880321331529,0.57421875,,
57.22198000000001,1419,,,,-0.1484375,0.06640625,-1.037109375,0.054973427330031265,284.8295945257657,22.186288833618164,1.0274832248687744,2156,0,22.79603959863607,12.412626299912748,54.45080162369703,22.94676304947389,12.49469642712884,0.568359375,,
57.243970000000004,1419,,,,0.037109375,-0.037109375,-1.05078125,0.060704612264520647,309.0595035099763,22.18850326538086,1.0284423828125,2154,0,22.819597169291228,13.69167014710201,59.99961368961918,22.5728125341518,13.543600319373018,0.560546875,,
57.27197,1419,,,,0.078125,-0.166015625,-1.0078125,0.06341671869824209,299.92288017361653,22.18800163269043,0.99609375,2153,0,22.101329751312733,14.300024945037046,64.70210211757815,20.97359139766448,13.57035452384046,0.55859375,,
57.300149999999995,1419,,,,-0.14453125,0.048828125,-1.025390625,0.06131529314298181,300.400823792546,22.188446044921875,0.8848741054534912,2149,0,19.6339813454033,13.799611053464927,70.28432395193086,21.768789180265973,15.300046307871009,0.5546875,,
57.323295000000016,1419,,,,0.099609375,-0.09375,-1.013671875,0.05372836310449691,302.0395509001927,22.18960189819336,0.88525390625,2140,0,19.643431758508086,12.038820851770508,61.2867496869847,25.088798530943567,15.376109155131278,0.544921875,,
57.347435000000026,1419,,,,-0.162109375,0.03515625,-0.935546875,0.05277192303174996,302.5887459308634,22.189146041870117,0.9591239094734192,2133,0,21.282140499555112,11.788270213489177,55.39043506331331,25.66862995595526,14.217965807395586,0.54296875,,
57.37168000000002,1419,,,,-0.0234375,0.013671875,-1.068359375,0.05667267470991555,296.6860065991984,22.192001342773438,0.9564208984375,2130,0,21.224893862381577,12.642519724735756,59.564583958382066,23.467316093540795,13.978209197316012,0.5390625,,
57.398554999999966,1419,,,,-0.0859375,-0.05859375,-0.99609375,0.05706294476356538,302.02404942755277,22.18800163269043,0.9151785969734192,2128,0,20.30598420384956,12.716690413055396,62.625333918286984,23.75020855406564,14.873647413273165,0.53125,,
57.425454999999985,1419,,,,-0.111328125,0.017578125,-1,0.060152319251111974,298.7598821888079,22.1893367767334,0.9483506679534912,2125,0,21.043272353660086,13.382734153582007,63.59625978634605,22.324278339553075,14.197406048249155,0.5234375,,
57.453235000000014,1419,,,,0,0.02734375,-1.048828125,0.06063638438572147,289.33055783156544,22.188003540039062,0.9884982705116272,2123,0,21.932803125434475,13.47964571876483,61.45883698346382,21.46425535715618,13.191681709669016,0.517578125,,
57.47579000000001,1419,,,,-0.03125,-0.037109375,-1.015625,0.05882479803569423,288.10815598910466,22.1893367767334,1.0069444179534912,2124,0,22.34342880542181,13.082128448981825,58.550227733208715,22.023033722125543,12.894536398065858,0.509765625,,
57.500269999999986,1414,,,,0.0234375,-0.046875,-1.017578125,0.06238521099584447,290.5584959142547,22.189716339111328,0.9953961968421936,2121,0,22.0875592529585,13.85511578189405,62.728143128979895,20.971206627804463,13.154848509363301,0.501953125,,
57.523845,1414,,,,-0.0625,0.00390625,-1.0390625,0.061821094625196304,290.8342006776358,22.189502716064453,0.980224609375,2123,0,21.75069663207978,13.745050861586098,63.19361211315745,21.15919421516606,13.371259118601689,0.49609375,,
57.55102500000005,1414,,,,-0.037109375,-0.029296875,-1.025390625,0.059299602728594934,295.9829040901743,22.189146041870117,0.9542410969734192,2122,0,21.173795059897543,13.174537699256385,62.2209559598908,22.4662838914553,13.978736605926445,0.4921875,,
57.57264000000004,1414,,,,0.0625,-0.033203125,-1.02734375,0.05828087106421981,297.114511592887,22.191112518310547,0.9016926884651184,2119,0,20.00956390666738,12.931298229984023,64.6255874955635,22.97638692640794,14.848625036444979,0.484375,,
